millis,ts,type,dpIn,dpOut,o2,millis_diff
32663.0,19:27:05.152 , Vol+O2,0.0,0.0,20.66,37.0
32700.0,19:27:05.152 , Vol+O2,0.0,0.0,20.66,37.0
32737.0,19:27:05.156 , Vol+O2,0.0,0.0,20.66,37.0
32774.0,19:27:05.156 , Vol+O2,0.0,0.0,20.66,37.0
32811.0,19:27:05.157 , Vol+O2,0.0,0.0,20.66,37.0
32848.0,19:27:05.157 , Vol+O2,0.0,0.0,20.66,37.0
32885.0,19:27:05.162 , Vol+O2,0.0,0.0,20.66,37.0
32922.0,19:27:05.162 , Vol+O2,0.0,0.0,20.65,37.0
32959.0,19:27:05.189 , Vol+O2,0.0,0.0,20.65,37.0
32996.0,19:27:05.206 , Vol+O2,0.0,0.0,20.65,37.0
33033.0,19:27:05.206 , Vol+O2,0.0,0.0,20.65,37.0
33068.0,19:27:05.209 , Vol+O2,0.0,0.0,20.69,35.0
33105.0,19:27:05.209 , Vol+O2,0.0,0.0,20.69,37.0
33142.0,19:27:05.211 , Vol+O2,0.0,0.0,20.69,37.0
33179.0,19:27:05.211 , Vol+O2,0.0,0.0,20.69,37.0
33216.0,19:27:05.213 , Vol+O2,0.0,0.0,20.66,37.0
33253.0,19:27:05.213 , Vol+O2,0.0,0.0,20.66,37.0
33290.0,19:27:05.215 , Vol+O2,0.0,0.0,20.66,37.0
33327.0,19:27:05.215 , Vol+O2,0.0,0.0,20.66,37.0
33364.0,19:27:05.222 , Vol+O2,0.0,0.0,20.63,37.0
33401.0,19:27:05.222 , Vol+O2,0.0,0.0,20.63,37.0
33438.0,19:27:05.222 , Vol+O2,0.0,0.0,20.63,37.0
33512.0,19:27:10.199 , Vol+O2,0.0,0.0,20.66,74.0
33549.0,19:27:10.224 , Vol+O2,0.0,0.0,20.66,37.0
33586.0,19:27:10.229 , Vol+O2,0.0,0.0,20.66,37.0
33623.0,19:27:10.229 , Vol+O2,0.0,0.0,20.66,37.0
33660.0,19:27:10.232 , Vol+O2,0.0,0.0,20.66,37.0
33699.0,19:27:10.232 , Vol+O2,0.0,0.0,20.69,39.0
33736.0,19:27:10.234 , Vol+O2,0.0,0.0,20.69,37.0
33773.0,19:27:10.234 , Vol+O2,0.0,0.0,20.69,37.0
