millis,ts,type,dpIn,dpOut,o2,dpSum,millis_diff,oneDp,o2ini,BreathMarker,volIn,volOut,o2InStpd,o2OutStpd,co2Stpd
1060682.0,14:28:12.117 , Vol+O2,0.0,0.0,15.488804347826086,-776.5499999999998,37.0,0.0,15.65,True,1996.3417285288212,1882.3823709083592,318.58010913032604,250.25073103473818,-119.88964218518481
1063129.0,14:28:17.372 , Vol+O2,0.0,0.0,15.408476011994004,-496.04999999999995,37.0,0.0,15.65,True,2499.355585771152,3090.689038564711,398.85204215875706,407.1390106260496,388.5027079806757
1067080.0,14:28:17.687 , Vol+O2,0.0,1.25,15.246335785953178,-775.1800000000001,36.0,-1.25,15.08,True,2444.6278221170965,2529.805305415545,390.1184788272845,331.5871187358085,21.675825764161345
1069929.0,14:28:22.830 , Vol+O2,0.0,0.0,15.225362818590705,-728.4899999999999,37.0,0.0,15.2,True,2659.9803117174547,2966.405346274442,424.48484940299153,391.11019125879693,177.43827157577698
1073039.0,14:28:29.137 , Vol+O2,0.0,4.5,15.333482008995501,-832.8999999999999,37.0,-4.5,15.56,True,2320.5165965171864,2401.1345952421307,370.31256722864464,319.03115112531185,16.094422427975815
1075963.0,14:28:29.295 , Vol+O2,0.0,6.39,15.443335484478778,-617.16,37.0,-6.39,15.65,True,2309.2166560905416,2646.126670141802,368.5093006822204,352.7856202189462,201.87219245728397
1078700.0,14:28:34.620 , Vol+O2,0.0,0.98,15.474839130434782,-798.28,37.0,-0.98,15.62,True,2267.4867615627813,2442.3081375525376,361.84996267276654,325.5082070926832,84.71362287976899
1081367.0,14:28:34.742 , Vol+O2,0.0,0.0,15.465360516170486,-715.25,37.0,0.0,15.56,True,2383.2005467769072,2555.9535502134636,380.315794346067,340.38059492239324,81.30654415689423
1084324.0,14:28:34.950 , Vol+O2,0.0,3.62,15.453501837109613,-758.5400000000001,36.0,-3.62,15.53,True,2687.651514300889,2922.279930709253,428.9006739148074,389.1308220928266,120.72428447904781
1087397.0,14:28:40.238 , Vol+O2,0.0,2.62,15.457152173913043,-907.2300000000001,37.0,-2.62,15.53,True,2105.6389515545247,2286.6492320374487,336.0219732869351,304.6677195233978,92.35748781317056
1090170.0,14:28:45.468 , Vol+O2,0.0,0.75,15.465125,-574.4499999999999,37.0,-0.75,15.56,True,2377.7750945261105,2711.688326903067,379.44999008748795,361.2801226284257,198.64449951080883
1093058.0,14:28:45.684 , Vol+O2,0.0,5.55,15.460773455377575,-761.1800000000001,37.0,-5.55,15.65,True,2373.7959053059494,2586.5004693866767,378.8149833058866,344.54641770818466,110.48703259045101
1096018.0,14:28:50.919 , Vol+O2,0.0,2.03,15.461766074709123,-751.71,37.0,-2.03,15.53,True,2103.9879561595926,2330.990984246667,335.7585042197035,310.7375517580943,125.72683825063814
1098383.0,14:28:51.089 , Vol+O2,0.0,1.25,15.477647019756043,-694.7199999999999,37.0,-1.25,15.53,True,2419.5269568890903,2645.4730733662013,386.1128337669585,353.4976368960243,118.1804835293251
1101041.0,14:28:56.357 , Vol+O2,0.0,0.0,15.52145652173913,-847.5400000000001,37.0,0.0,15.56,True,2226.0560101062733,2533.884321039585,355.23836249843544,339.7113868241106,180.36847529439592
1103712.0,14:28:56.569 , Vol+O2,0.0,1.07,15.57062400489896,-791.3099999999998,37.0,-1.07,15.8,True,2302.727609551565,2607.7867644609196,367.47376597140595,350.48648717488845,175.98514357735826
1106483.0,14:29:01.805 , Vol+O2,0.0,0.79,15.605902776322683,-771.2799999999999,37.0,-0.79,15.74,True,2461.6568341982716,2583.9493807636363,392.8360018092843,347.520646699325,39.67087941324871
1109114.0,14:29:02.000 , Vol+O2,0.0,4.77,15.605602339433934,-785.6399999999998,37.0,-4.77,15.65,True,2379.967812466213,2652.2949964861514,379.79990829571193,355.93717221065225,151.17481176707497
1111887.0,14:29:02.182 , Vol+O2,0.0,0.0,15.560871358135364,-834.0300000000001,37.0,0.0,15.68,True,2386.710018407693,2277.881752987001,380.87584267804743,303.8531003829725,-124.37977532302784
1114628.0,14:29:07.383 , Vol+O2,0.0,0.0,15.45188215892054,-657.42,37.0,0.0,15.77,True,2756.9495546516423,3312.5963264138027,439.9593904371185,437.3861135719369,356.9978708141198
1118638.0,14:29:12.764 , Vol+O2,0.0,3.21,15.288923214839842,-929.82,37.0,-3.21,15.02,True,2547.648893235377,2761.9179842898875,406.5587824138711,363.00671961557816,113.27826140632897
1121411.0,14:29:12.944 , Vol+O2,0.0,8.79,15.260079798810272,-833.0600000000003,37.0,-8.79,15.23,True,2293.9785973506514,2590.428865359206,366.0775815296753,341.6797241316915,176.3727035390259
1124044.0,14:29:18.186 , Vol+O2,0.0,4.27,15.3268140029985,-791.76,37.0,-4.27,15.47,True,2288.7695666315904,2525.130992728568,365.24631424150186,334.95328208205234,130.72914110367947
1126632.0,14:29:18.306 , Vol+O2,0.0,2.62,15.41903366058906,-769.4399999999999,37.0,-2.62,15.56,True,2304.8615364064476,2561.6473012717256,367.81430218351306,341.793732743135,143.32896016681843
1129296.0,14:29:23.650 , Vol+O2,0.0,3.49,15.499954499494438,-802.03,37.0,-3.49,15.62,True,2243.5114488051386,2521.6339663657745,358.02393547230713,337.49618661855146,158.98699863906518
1131920.0,14:29:23.823 , Vol+O2,0.0,2.17,15.54352382943144,-788.5500000000001,37.0,-2.17,15.65,True,2377.4472846424783,2582.3682460797186,379.39767754649904,346.5016154459687,102.24336683913361
1134396.0,14:29:29.063 , Vol+O2,0.0,0.28,15.583327231121281,-837.5300000000001,37.0,-0.28,15.68,True,2731.931921647914,2956.042077207449,435.96702773758017,397.6492874609999,108.21252104539803
