millis,dpSum
825839.0,-509.2700000000001
827727.0,500.15999999999997
829465.0,-691.79
831351.0,431.59
832992.0,-490.18
835876.0,442.58000000000004
837429.0,-662.66
839425.0,477.47
841164.0,-587.4999999999999
843013.0,426.7
844731.0,-476.84999999999997
846579.0,573.0600000000001
848539.0,-593.6500000000001
850578.0,424.9699999999999
852278.0,-596.85
853978.0,394.20000000000005
855574.0,-451.59
857237.0,439.23999999999995
858788.0,-536.34
860417.0,449.8299999999999
861788.0,-571.08
863488.0,449.25000000000006
865152.0,-537.6299999999999
866970.0,387.19000000000005
868596.0,-490.8499999999999
870482.0,663.9200000000001
872342.0,-699.12
873968.0,337.72
875447.0,-417.33
877148.0,422.70000000000005
878709.0,-513.1199999999999
880521.0,637.07
882406.0,-751.71
884037.0,461.36999999999995
885589.0,-503.61
887177.0,425.59999999999997
888583.0,-494.14
890399.0,685.39
892284.0,-748.94
893763.0,336.41999999999996
895131.0,-368.33
897828.0,495.46
899308.0,-635.74
900977.0,555.61
902455.0,-676.28
904193.0,531.21
905905.0,-623.7400000000001
907643.0,434.3299999999999
909195.0,-598.9399999999999
910931.0,678.3100000000001
912632.0,-722.9800000000001
914000.0,475.38
915331.0,-508.12
916993.0,570.9499999999999
918592.0,-669.78
920108.0,484.95
921550.0,-607.0099999999999
923154.0,523.92
924743.0,-589.5600000000001
926813.0,618.94
928596.0,-786.5500000000001
930115.0,505.17
931668.0,-530.52
933369.0,417.99
934825.0,-511.93000000000006
936490.0,612.35
938372.0,-660.1999999999999
940038.0,671.87
941812.0,-723.72
943328.0,543.04
944959.0,-635.13
946665.0,782.09
948513.0,-757.2
949955.0,467.92
951227.0,-671.21
952706.0,507.48
954148.0,-576.81
956108.0,670.1699999999998
957927.0,-835.64
959406.0,494.9
960847.0,-519.93
962184.0,334.46
963515.0,-316.8
965697.0,402.09
967029.0,-680.8800000000001
968667.0,541.5300000000001
970106.0,-630.11
971621.0,461.64000000000004
973000.0,-552.32
974920.0,729.71
976989.0,-728.98
978655.0,402.44
979918.0,-554.4200000000001
981434.0,493.06000000000006
982839.0,-602.3300000000002
984284.0,514.5500000000001
985763.0,-561.23
987353.0,532.17
988648.0,-750.06
990393.0,501.96999999999997
991798.0,-667.7000000000002
993461.0,493.28999999999996
994866.0,-625.6899999999999
996460.0,567.8199999999999
997937.0,-727.19
999602.0,741.5699999999999
1001240.0,-784.9499999999999
1003051.0,443.45000000000005
1004493.0,-650.1500000000001
1006044.0,563.1700000000001
1007495.0,-611.79
1009160.0,612.51
1010860.0,-808.31
1012344.0,552.62
1013860.0,-619.92
1015412.0,637.3000000000001
1016928.0,-681.66
1018344.0,510.71
1019674.0,-631.44
1021153.0,553.9100000000001
1022447.0,-682.23
1023890.0,539.9300000000001
1025333.0,-625.0899999999999
1027034.0,609.03
1028482.0,-823.4900000000001
1030002.0,498.24000000000007
1031329.0,-614.22
1032956.0,652.46
1034548.0,-759.4699999999999
1036248.0,569.5400000000001
1037577.0,-797.0300000000001
1038871.0,516.91
1040105.0,-621.0899999999999
1041584.0,583.96
1042878.0,-694.0200000000001
1044541.0,625.25
1046098.0,-807.18
1047725.0,601.2
1049130.0,-763.3899999999999
1050610.0,548.6200000000001
1052022.0,-629.25
